calendar_date,species_id,indicator_id,indicator_desc,indicator_units,head_count,indicator_value
2024-12-21,Sheep,9,National Merino Lamb Indicator,c/kg cwt,5426.0,700.5531961297
2024-12-22,Sheep,9,National Merino Lamb Indicator,c/kg cwt,5426.0,700.5531961297
2024-12-23,Sheep,9,National Merino Lamb Indicator,c/kg cwt,3899.0,708.778909823
2024-12-24,Sheep,9,National Merino Lamb Indicator,c/kg cwt,809.0,664.2438051916
2024-10-01,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,24475.0,642.4286618836
2024-10-02,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,21333.0,660.5182796466
2024-10-03,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,20354.0,683.4146355065
2024-10-04,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,20625.0,684.6594597188
2024-10-05,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,20625.0,684.6594597188
2024-10-06,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,20625.0,684.6594597188
2024-10-07,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,20090.0,683.2255683873
2024-10-08,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,24122.0,679.8718867673
2024-10-09,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,27878.0,670.9479255219
2024-10-10,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,28532.0,672.6026262372
2024-10-11,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,29559.0,674.9825434216
2024-10-12,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,29559.0,674.9825434216
2024-10-13,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,29559.0,674.9825434216
2024-10-14,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,31185.0,676.5320593394
2024-10-15,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,33960.0,656.7920089223
2024-10-16,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,33724.0,666.8152300943
2024-10-17,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,30946.0,644.4506736315
2024-10-18,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,30712.0,636.6079944387
2024-10-19,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,30712.0,636.6079944387
2024-10-20,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,30712.0,636.6079944387
2024-10-21,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,30787.0,629.0383297528
2024-10-22,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,30806.0,674.447611303
2024-10-23,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,31344.0,684.4127691041
2024-10-24,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,34569.0,709.2513176112
2024-10-25,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,33867.0,715.645341663
2024-10-26,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,33867.0,715.645341663
2024-10-27,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,33867.0,715.645341663
2024-10-28,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,36159.0,717.7832732847
2024-10-29,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,40890.0,721.2619048985
2024-10-30,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,46001.0,731.5291268538
2024-10-31,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,50392.0,740.6327843646
