report_date,report_type,category,location_id,unit_of_measure,value_amt
2025-12-01,Slaughter,Cows And Heifers,Western Australia,000,71.5000
2025-12-01,Production,Lambs,Victoria,Tonnes,76307.0000
2025-12-01,Slaughter,Calves,Northern Territory,000,0.0000
2025-12-01,Slaughter,Lambs,New South Wales,000,1164.2000
2025-12-01,Production,Calves,Tasmania,Tonnes,115.0000
2025-12-01,Production,Total Red Meat,Australia,Tonnes,1038589.0000
2025-06-01,Production,Total Red Meat,Australia,Tonnes,1072399.0000
2025-06-01,Slaughter,"Bulls, Bullocks And Steers",Northern Territory,000,0.0000
2025-06-01,Production,Calves,South Australia,Tonnes,0.0000
2025-06-01,Production,Sheep,Australian Capital Territory,Tonnes,0.0000
2025-06-01,Slaughter,"Bulls, Bullocks And Steers",Tasmania,000,29.1000
2025-06-01,Slaughter,Cows And Heifers,Australia,000,1274.3000
2025-06-01,Slaughter,Pigs,Northern Territory,000,0.0000
2025-06-01,Production,Lambs,Northern Territory,Tonnes,0.0000
2025-06-01,Production,Lambs,South Australia,Tonnes,18668.0000
2025-06-01,Production,Calves,Australia,Tonnes,3925.0000
2025-06-01,Slaughter,Calves,Queensland,000,0.1000
2025-06-01,Production,Sheep,Western Australia,Tonnes,11024.0000
2025-06-01,Production,Cattle (Excl. Calves),South Australia,Tonnes,29145.0000
2025-06-01,Production,Cattle (Excl. Calves),Queensland,Tonnes,329034.0000
2025-09-01,Production,Calves,Northern Territory,Tonnes,0.0000
2025-09-01,Production,Lambs,New South Wales,Tonnes,34014.0000
2025-09-01,Production,Sheep,Victoria,Tonnes,19816.0000
2025-09-01,Production,Cattle (Excl. Calves),Australia,Tonnes,759270.0000
2025-09-01,Production,Total Red Meat,Western Australia,Tonnes,72635.0000
2025-09-01,Slaughter,Cattle (Excl. Calves),Victoria,000,567.6000
2025-09-01,Production,Sheep,Tasmania,Tonnes,499.0000
2025-09-01,Slaughter,Calves,New South Wales,000,21.3000
2025-09-01,Slaughter,Cows And Heifers,Tasmania,000,28.4000
2025-09-01,Slaughter,Cows And Heifers,South Australia,000,40.4000
2025-09-01,Slaughter,Cattle (Excl. Calves),South Australia,000,96.0000
2025-09-01,Production,Calves,New South Wales,Tonnes,2486.0000
2025-09-01,Slaughter,Lambs,Victoria,000,2834.0000
2025-09-01,Production,Total Red Meat,New South Wales,Tonnes,243548.0000
2025-09-01,Production,Lambs,Victoria,Tonnes,66922.0000
2025-09-01,Production,Sheep,Australian Capital Territory,Tonnes,0.0000
2025-09-01,Slaughter,Lambs,Australian Capital Territory,000,0.0000
2025-09-01,Production,Calves,Western Australia,Tonnes,25.0000
2025-09-01,Production,Sheep,New South Wales,Tonnes,20922.0000
2025-09-01,Production,Lambs,Tasmania,Tonnes,1785.0000
2025-09-01,Slaughter,Pigs,Western Australia,000,229.5000
2025-09-01,Production,Lambs,Queensland,Tonnes,456.0000
2025-09-01,Slaughter,Cattle (Excl. Calves),Australian Capital Territory,000,0.0000
2025-09-01,Production,Total Red Meat,Queensland,Tonnes,382373.0000
2025-09-01,Slaughter,Pigs,New South Wales,000,229.0000
2025-12-01,Slaughter,"Bulls, Bullocks And Steers",Australia,000,1094.2000
2025-12-01,Production,Calves,Victoria,Tonnes,562.0000
2025-12-01,Slaughter,Cows And Heifers,New South Wales,000,341.2000
2025-12-01,Slaughter,Sheep,Queensland,000,2.8000
2025-12-01,Slaughter,Lambs,Western Australia,000,726.9000
