calendar_date,species_id,indicator_id,indicator_desc,indicator_units,head_count,indicator_value
2025-12-20,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,55147.0,1106.5136432771
2025-12-21,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,55147.0,1106.5136432771
2025-12-22,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,40026.0,1104.9467490281
2025-12-23,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,23512.0,1092.2642513015
2025-12-24,Sheep,10,National Restocker Lamb Indicator,c/kg cwt,8085.0,1104.4440191589
2025-04-01,Sheep,11,National Mutton Indicator,c/kg cwt,58835.0,470.5575297289
2025-04-02,Sheep,11,National Mutton Indicator,c/kg cwt,62334.0,498.3358172282
2025-04-03,Sheep,11,National Mutton Indicator,c/kg cwt,63560.0,545.5987623883
2025-04-04,Sheep,11,National Mutton Indicator,c/kg cwt,65225.0,550.6116286715
2025-04-05,Sheep,11,National Mutton Indicator,c/kg cwt,65225.0,550.6116286715
2025-04-06,Sheep,11,National Mutton Indicator,c/kg cwt,65225.0,550.6116286715
2025-04-07,Sheep,11,National Mutton Indicator,c/kg cwt,82195.0,546.6917013188
2025-04-08,Sheep,11,National Mutton Indicator,c/kg cwt,100251.0,530.2701053994
2025-04-09,Sheep,11,National Mutton Indicator,c/kg cwt,107819.0,509.599672887
2025-04-10,Sheep,11,National Mutton Indicator,c/kg cwt,126832.0,468.0732833512
2025-04-11,Sheep,11,National Mutton Indicator,c/kg cwt,128217.0,462.7734652534
2025-04-12,Sheep,11,National Mutton Indicator,c/kg cwt,128217.0,462.7734652534
2025-04-13,Sheep,11,National Mutton Indicator,c/kg cwt,128217.0,462.7734652534
2025-04-14,Sheep,11,National Mutton Indicator,c/kg cwt,116732.0,447.3053555786
2025-04-15,Sheep,11,National Mutton Indicator,c/kg cwt,99410.0,431.0215814616
2025-04-16,Sheep,11,National Mutton Indicator,c/kg cwt,79507.0,431.1064820192
2025-04-17,Sheep,11,National Mutton Indicator,c/kg cwt,45410.0,435.3847018498
2025-04-18,Sheep,11,National Mutton Indicator,c/kg cwt,40940.0,435.8285488422
2025-04-19,Sheep,11,National Mutton Indicator,c/kg cwt,40940.0,435.8285488422
2025-04-20,Sheep,11,National Mutton Indicator,c/kg cwt,40940.0,435.8285488422
2025-04-21,Sheep,11,National Mutton Indicator,c/kg cwt,25790.0,433.3134209383
2025-04-22,Sheep,11,National Mutton Indicator,c/kg cwt,15074.0,468.857516691
2025-04-23,Sheep,11,National Mutton Indicator,c/kg cwt,17075.0,519.2870156662
2025-04-24,Sheep,11,National Mutton Indicator,c/kg cwt,31616.0,562.1852279257
2025-04-25,Sheep,11,National Mutton Indicator,c/kg cwt,31616.0,562.1852279257
2025-04-26,Sheep,11,National Mutton Indicator,c/kg cwt,31616.0,562.1852279257
2025-04-27,Sheep,11,National Mutton Indicator,c/kg cwt,31616.0,562.1852279257
2025-04-28,Sheep,11,National Mutton Indicator,c/kg cwt,44185.0,591.1340988797
2025-04-29,Sheep,11,National Mutton Indicator,c/kg cwt,60899.0,609.064216772
2025-04-30,Sheep,11,National Mutton Indicator,c/kg cwt,75806.0,616.9931617695
2025-05-01,Sheep,11,National Mutton Indicator,c/kg cwt,80588.0,625.2490383717
2025-05-02,Sheep,11,National Mutton Indicator,c/kg cwt,83437.0,624.3847647195
2025-05-03,Sheep,11,National Mutton Indicator,c/kg cwt,83437.0,624.3847647195
2025-05-04,Sheep,11,National Mutton Indicator,c/kg cwt,83437.0,624.3847647195
2025-05-05,Sheep,11,National Mutton Indicator,c/kg cwt,90555.0,607.7269892872
2025-05-06,Sheep,11,National Mutton Indicator,c/kg cwt,99633.0,589.137264023
2025-05-07,Sheep,11,National Mutton Indicator,c/kg cwt,96129.0,564.1565948632
2025-05-08,Sheep,11,National Mutton Indicator,c/kg cwt,98125.0,533.6336191164
2025-05-09,Sheep,11,National Mutton Indicator,c/kg cwt,98239.0,529.2341947353
2025-05-10,Sheep,11,National Mutton Indicator,c/kg cwt,98239.0,529.2341947353
2025-05-11,Sheep,11,National Mutton Indicator,c/kg cwt,98239.0,529.2341947353
2025-05-12,Sheep,11,National Mutton Indicator,c/kg cwt,96150.0,520.6402250369
2025-05-13,Sheep,11,National Mutton Indicator,c/kg cwt,87117.0,504.9482170862
2025-05-14,Sheep,11,National Mutton Indicator,c/kg cwt,84381.0,506.3391165677
2025-05-15,Sheep,11,National Mutton Indicator,c/kg cwt,79108.0,512.8323067667
2025-05-16,Sheep,11,National Mutton Indicator,c/kg cwt,77865.0,516.9945948501
2025-05-17,Sheep,11,National Mutton Indicator,c/kg cwt,77865.0,516.9945948501
2025-05-18,Sheep,11,National Mutton Indicator,c/kg cwt,77865.0,516.9945948501
2025-05-19,Sheep,11,National Mutton Indicator,c/kg cwt,73289.0,524.5815546508
2025-05-20,Sheep,11,National Mutton Indicator,c/kg cwt,78836.0,540.525492421
2025-05-21,Sheep,11,National Mutton Indicator,c/kg cwt,75933.0,551.0961940013
2025-05-22,Sheep,11,National Mutton Indicator,c/kg cwt,71112.0,570.1366391003
2025-05-23,Sheep,11,National Mutton Indicator,c/kg cwt,69392.0,569.5044008675
2025-05-24,Sheep,11,National Mutton Indicator,c/kg cwt,69392.0,569.5044008675
2025-05-25,Sheep,11,National Mutton Indicator,c/kg cwt,69392.0,569.5044008675
2025-05-26,Sheep,11,National Mutton Indicator,c/kg cwt,69445.0,579.4396362431
2025-05-27,Sheep,11,National Mutton Indicator,c/kg cwt,59994.0,592.926613503
2025-05-28,Sheep,11,National Mutton Indicator,c/kg cwt,59523.0,611.4468797557
2025-05-29,Sheep,11,National Mutton Indicator,c/kg cwt,58827.0,616.3192495198
2025-05-30,Sheep,11,National Mutton Indicator,c/kg cwt,60816.0,619.3497104364
2025-05-31,Sheep,11,National Mutton Indicator,c/kg cwt,60816.0,619.3497104364
2025-06-01,Sheep,11,National Mutton Indicator,c/kg cwt,60816.0,619.3497104364
2025-06-02,Sheep,11,National Mutton Indicator,c/kg cwt,62976.0,623.2801034489
2025-06-03,Sheep,11,National Mutton Indicator,c/kg cwt,63466.0,636.4632865471
2025-06-04,Sheep,11,National Mutton Indicator,c/kg cwt,60982.0,635.4420767768
2025-06-05,Sheep,11,National Mutton Indicator,c/kg cwt,61449.0,634.5568840307
2025-06-06,Sheep,11,National Mutton Indicator,c/kg cwt,62250.0,633.2484897912
2025-06-07,Sheep,11,National Mutton Indicator,c/kg cwt,62250.0,633.2484897912
2025-06-08,Sheep,11,National Mutton Indicator,c/kg cwt,62250.0,633.2484897912
2025-06-09,Sheep,11,National Mutton Indicator,c/kg cwt,47015.0,629.0489338573
2025-06-10,Sheep,11,National Mutton Indicator,c/kg cwt,41470.0,633.2021357584
2025-06-11,Sheep,11,National Mutton Indicator,c/kg cwt,42206.0,648.6789635265
2025-06-12,Sheep,11,National Mutton Indicator,c/kg cwt,43648.0,667.1307395734
2025-06-13,Sheep,11,National Mutton Indicator,c/kg cwt,42617.0,670.7279860056
2025-06-14,Sheep,11,National Mutton Indicator,c/kg cwt,42617.0,670.7279860056
2025-06-15,Sheep,11,National Mutton Indicator,c/kg cwt,42617.0,670.7279860056
2025-06-16,Sheep,11,National Mutton Indicator,c/kg cwt,61307.0,678.3838586817
2025-06-17,Sheep,11,National Mutton Indicator,c/kg cwt,65587.0,686.4882150518
2025-06-18,Sheep,11,National Mutton Indicator,c/kg cwt,65941.0,683.2729472468
2025-06-19,Sheep,11,National Mutton Indicator,c/kg cwt,65741.0,673.7485878691
2025-06-20,Sheep,11,National Mutton Indicator,c/kg cwt,66402.0,672.0272867248
2025-06-21,Sheep,11,National Mutton Indicator,c/kg cwt,66402.0,672.0272867248
2025-06-22,Sheep,11,National Mutton Indicator,c/kg cwt,66402.0,672.0272867248
2025-06-23,Sheep,11,National Mutton Indicator,c/kg cwt,59603.0,657.045137374
2025-06-24,Sheep,11,National Mutton Indicator,c/kg cwt,57358.0,639.4909345043
2025-06-25,Sheep,11,National Mutton Indicator,c/kg cwt,55581.0,638.397614021
2025-06-26,Sheep,11,National Mutton Indicator,c/kg cwt,52698.0,645.4326695966
2025-06-27,Sheep,11,National Mutton Indicator,c/kg cwt,52862.0,646.6774371458
2025-06-28,Sheep,11,National Mutton Indicator,c/kg cwt,52862.0,646.6774371458
2025-06-29,Sheep,11,National Mutton Indicator,c/kg cwt,52862.0,646.6774371458
